<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,171225,00:00:00,14171.9800000
BTC-USD,D,171226,00:00:00,15790.8800000
BTC-USD,D,171227,00:00:00,15360.0000000
BTC-USD,D,171228,00:00:00,14450.0100000
BTC-USD,D,171229,00:00:00,14565.0500000
BTC-USD,D,171230,00:00:00,12839.9900000
BTC-USD,D,171231,00:00:00,13863.1300000
BTC-USD,D,180101,00:00:00,13480.0100000
BTC-USD,D,180102,00:00:00,14781.5100000
BTC-USD,D,180103,00:00:00,15098.1400000
BTC-USD,D,180104,00:00:00,15144.9900000
BTC-USD,D,180105,00:00:00,16960.0100000
BTC-USD,D,180106,00:00:00,17098.9900000
BTC-USD,D,180107,00:00:00,16174.2200000
BTC-USD,D,180108,00:00:00,14993.7400000
BTC-USD,D,180109,00:00:00,14480.9900000
BTC-USD,D,180110,00:00:00,14875.1800000
BTC-USD,D,180111,00:00:00,13308.0600000
BTC-USD,D,180112,00:00:00,13820.0000000
BTC-USD,D,180113,00:00:00,14187.9500000
BTC-USD,D,180114,00:00:00,13656.2300000
BTC-USD,D,180115,00:00:00,13590.0000000
BTC-USD,D,180116,00:00:00,11570.0100000
BTC-USD,D,180117,00:00:00,11200.0100000
BTC-USD,D,180118,00:00:00,11305.5300000
BTC-USD,D,180119,00:00:00,11498.9900000
BTC-USD,D,180120,00:00:00,12762.8000000
BTC-USD,D,180121,00:00:00,11518.1700000
BTC-USD,D,180122,00:00:00,10766.7000000
BTC-USD,D,180123,00:00:00,10824.9400000
BTC-USD,D,180124,00:00:00,11356.7900000
BTC-USD,D,180125,00:00:00,11118.0000000
BTC-USD,D,180126,00:00:00,11086.8900000
BTC-USD,D,180127,00:00:00,11319.0000000
BTC-USD,D,180128,00:00:00,11536.0000000
BTC-USD,D,180129,00:00:00,11123.0100000
BTC-USD,D,180130,00:00:00,9995.0000000
BTC-USD,D,180131,00:00:00,10099.9900000
BTC-USD,D,180201,00:00:00,9014.2300000
BTC-USD,D,180202,00:00:00,8787.5200000
BTC-USD,D,180203,00:00:00,9240.0000000
BTC-USD,D,180204,00:00:00,8167.9100000
BTC-USD,D,180205,00:00:00,6905.1900000
BTC-USD,D,180206,00:00:00,7688.4600000
BTC-USD,D,180207,00:00:00,7575.7500000
BTC-USD,D,180208,00:00:00,8218.1000000
BTC-USD,D,180209,00:00:00,8671.0100000
BTC-USD,D,180210,00:00:00,8547.4900000
BTC-USD,D,180211,00:00:00,8072.9900000
BTC-USD,D,180212,00:00:00,8872.2800000
BTC-USD,D,180213,00:00:00,8520.0100000
BTC-USD,D,180214,00:00:00,9472.9800000
BTC-USD,D,180215,00:00:00,10031.2300000
BTC-USD,D,180216,00:00:00,10167.4900000
BTC-USD,D,180217,00:00:00,11121.5000000
BTC-USD,D,180218,00:00:00,10380.0400000
BTC-USD,D,180219,00:00:00,11140.0000000
BTC-USD,D,180220,00:00:00,11235.5700000
BTC-USD,D,180221,00:00:00,10454.2700000
BTC-USD,D,180222,00:00:00,9830.0000000
BTC-USD,D,180223,00:00:00,10144.9900000
BTC-USD,D,180224,00:00:00,9688.6200000
BTC-USD,D,180225,00:00:00,9595.4200000
BTC-USD,D,180226,00:00:00,10300.0000000
BTC-USD,D,180227,00:00:00,10566.5700000
BTC-USD,D,180228,00:00:00,10307.2700000
BTC-USD,D,180301,00:00:00,10895.9200000
BTC-USD,D,180302,00:00:00,11000.0000000
BTC-USD,D,180303,00:00:00,11432.5000000
BTC-USD,D,180304,00:00:00,11469.9000000
BTC-USD,D,180305,00:00:00,11377.5400000
BTC-USD,D,180306,00:00:00,10700.0000000
BTC-USD,D,180307,00:00:00,9925.0000000
BTC-USD,D,180308,00:00:00,9304.8900000
BTC-USD,D,180309,00:00:00,9255.0000000
BTC-USD,D,180310,00:00:00,8795.4400000
BTC-USD,D,180311,00:00:00,9533.8800000
BTC-USD,D,180312,00:00:00,9120.0000000
BTC-USD,D,180313,00:00:00,9145.4100000
BTC-USD,D,180314,00:00:00,8207.0200000
BTC-USD,D,180315,00:00:00,8259.9900000
BTC-USD,D,180316,00:00:00,8275.0000000
BTC-USD,D,180317,00:00:00,7857.6000000
BTC-USD,D,180318,00:00:00,8192.0000000
BTC-USD,D,180319,00:00:00,8589.0000000
BTC-USD,D,180320,00:00:00,8900.0000000
BTC-USD,D,180321,00:00:00,8891.8100000
